epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3671,2.93784,3.39139,4.26452,0.00333,1,0.37206,0.09077,2.07042,3.63023,4.15871,0.0002,0.0002,0.0002
2,103.515,3.05238,3.29938,4.1987,0.00333,1,0.04517,0.016,2.08387,3.62568,4.1535,0.000411684,0.000411684,0.000411684
3,150.742,2.99694,3.27938,4.15679,0.00333,1,0.88063,0.37201,2.09744,3.61261,4.12344,0.000614656,0.000614656,0.000614656
4,199.096,3.08996,3.21155,4.09746,0.00333,1,0.57206,0.22406,2.11858,3.5882,4.06035,0.000808916,0.000808916,0.000808916
5,247.148,2.94978,3.125,3.95234,0.00333,1,0.1721,0.04645,2.28036,3.52788,4.02084,0.000994464,0.000994464,0.000994464
6,295.815,2.93374,3.12991,3.82077,0.00311,0.93333,0.06806,0.01595,2.57359,3.64263,3.85896,0.0011713,0.0011713,0.0011713
7,343.443,2.95369,2.9734,3.71004,0.00333,1,0.03874,0.00965,2.17027,3.47465,4.31966,0.00133942,0.00133942,0.00133942
8,396.78,2.93015,3.01324,3.67266,0.07817,0.26667,0.05918,0.01976,2.1821,3.30162,4.31699,0.00149884,0.00149884,0.00149884
9,446.523,2.91429,2.89644,3.57359,0.06927,0.13333,0.08249,0.02572,2.62646,3.88875,3.62797,0.00164954,0.00164954,0.00164954
10,495.747,2.79073,2.84629,3.50897,0.31517,0.13333,0.16566,0.07014,2.28285,4.11208,4.19865,0.0016436,0.0016436,0.0016436
11,543.653,2.73116,2.73953,3.40095,0.17166,0.2,0.09895,0.02163,2.9854,6.61876,4.06916,0.001604,0.001604,0.001604
12,592.235,2.66308,2.73267,3.37035,0.26109,0.13333,0.13122,0.02465,3.13166,5.45406,4.11883,0.0015644,0.0015644,0.0015644
13,641.153,2.62655,2.6007,3.30309,0.27993,0.2,0.14207,0.02202,3.3068,6.07915,4.33294,0.0015248,0.0015248,0.0015248
