epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.9652,2.93784,3.39139,4.26452,0.00333,1,0.37206,0.09077,2.07042,3.63023,4.15871,0.0002,0.0002,0.0002
2,108.146,3.04761,3.30408,4.19954,0.00333,1,0.13166,0.034,2.08485,3.62638,4.15422,0.00041406,0.00041406,0.00041406
3,156.416,3.01846,3.26602,4.15882,0.00333,1,0.88537,0.38351,2.09835,3.60767,4.12403,0.000621897,0.000621897,0.000621897
4,205.557,3.09882,3.18011,4.06103,0.00333,1,0.25209,0.0942,2.06135,3.57784,4.09203,0.000823511,0.000823511,0.000823511
5,250.073,2.95383,3.126,3.90255,0.00333,1,0.1154,0.04643,2.05158,3.50733,4.08726,0.0010189,0.0010189,0.0010189
6,295.275,2.90664,3.08888,3.8004,0.00311,0.93333,0.07769,0.02155,2.50524,3.75076,3.87051,0.00120807,0.00120807,0.00120807
7,341.453,2.97414,2.93601,3.70786,0.00267,0.8,0.034,0.01008,2.75766,3.9812,3.76679,0.00139102,0.00139102,0.00139102
8,389.029,2.82058,2.96903,3.66556,0.04036,0.26667,0.04519,0.01386,2.28209,3.55655,4.03795,0.00156774,0.00156774,0.00156774
9,435.915,2.81698,2.87227,3.46783,0.17364,0.2,0.09272,0.02686,2.55342,4.3094,3.69888,0.00173824,0.00173824,0.00173824
10,480.697,2.80485,2.81364,3.50685,0.01279,0.33333,0.01546,0.0027,3.07663,4.20841,4.14844,0.00174543,0.00174543,0.00174543
11,525.018,2.67409,2.66936,3.34665,0.0161,0.26667,0.01071,0.00292,2.7779,6.27789,4.15627,0.00171714,0.00171714,0.00171714
12,568.131,2.61159,2.68997,3.31657,0.3706,0.2,0.19573,0.05465,2.5355,5.42238,3.76923,0.00168886,0.00168886,0.00168886
13,611.201,2.5783,2.53667,3.25501,0.16775,0.13333,0.11051,0.0217,2.42326,4.44102,3.64579,0.00166057,0.00166057,0.00166057
14,657.766,2.51813,2.5273,3.24784,0.03939,0.8,0.09899,0.01286,3.03343,17.2669,4.74907,0.00163229,0.00163229,0.00163229
15,703.082,2.48534,2.41762,3.12931,0.02972,0.06951,0.03167,0.00876,3.57009,20.5669,5.38715,0.001604,0.001604,0.001604
16,749.311,2.40636,2.41295,3.1049,0.19727,0.33333,0.24526,0.10726,2.09568,4.87276,3.18386,0.00157571,0.00157571,0.00157571
17,792.802,2.29436,2.27446,3.04681,0.47138,0.6,0.56757,0.27135,1.647,2.46535,2.81273,0.00154743,0.00154743,0.00154743
18,836.631,2.31353,2.32194,3.04186,0.85356,0.06667,0.11932,0.08003,1.69588,3.72698,3.24557,0.00151914,0.00151914,0.00151914
19,881.131,2.22805,2.18708,2.94558,0.46967,0.06667,0.08576,0.0427,2.03107,4.60619,3.32113,0.00149086,0.00149086,0.00149086
20,924.651,2.27886,2.18401,2.93887,0.22966,0.6,0.24424,0.12647,1.55903,2.29366,2.86103,0.00146257,0.00146257,0.00146257
21,968.423,2.12246,2.02126,2.81371,0.21029,0.33333,0.25067,0.13837,1.86556,2.37831,3.29157,0.00143429,0.00143429,0.00143429
22,1011.74,2.096,2.02994,2.82322,0.58231,0.73333,0.64496,0.27132,1.67375,3.66199,2.89028,0.001406,0.001406,0.001406
23,1055.21,1.94716,1.96865,2.68126,0.58675,0.86667,0.79034,0.36366,1.80952,2.29871,3.11293,0.00137771,0.00137771,0.00137771
24,1098.46,1.93881,1.92679,2.697,0.61522,0.73333,0.72813,0.40396,1.57155,1.94907,2.65212,0.00134943,0.00134943,0.00134943
25,1142.04,1.9782,1.82633,2.61179,0.63517,0.93333,0.74641,0.34534,1.68717,2.06196,2.83266,0.00132114,0.00132114,0.00132114
