epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3881,1.04782,1.1867,1.76495,0.77439,0.55381,0.61828,0.37929,1.50311,1.68693,2.26415,0.00022,0.00022,0.00022
2,113.549,1.11679,0.97433,1.81448,0.82686,0.77419,0.79382,0.48498,1.29073,2.17521,1.97344,0.000454308,0.000454308,0.000454308
3,168.887,1.16649,1.00307,1.83326,0.80559,0.80215,0.85314,0.47983,1.42097,1.30799,2.15544,0.000682675,0.000682675,0.000682675
4,223.84,1.07756,0.92498,1.79001,0.84976,0.73011,0.7738,0.4972,1.47265,1.20051,2.15564,0.000905103,0.000905103,0.000905103
5,283.324,1.10754,0.94563,1.81406,0.79686,0.90323,0.89867,0.5561,1.33767,1.09076,1.97767,0.00112159,0.00112159,0.00112159
6,340.896,1.02464,0.90202,1.70882,0.88403,0.83871,0.94729,0.57489,1.36576,1.12224,1.96161,0.00133214,0.00133214,0.00133214
7,407.03,1.13969,0.92298,1.79169,0.40203,0.58065,0.49988,0.2617,2.04322,1.82473,3.05717,0.00153675,0.00153675,0.00153675
8,470.893,1.08596,0.96766,1.80234,0.83136,0.63636,0.71917,0.3934,2.01736,1.29307,2.6612,0.00173541,0.00173541,0.00173541
9,541.83,1.25895,1.09612,1.86374,0.64297,0.77419,0.74996,0.41608,1.72575,1.79004,2.37012,0.001802,0.001802,0.001802
10,612.708,1.14965,0.90847,1.77956,0.71287,0.77419,0.78546,0.47064,1.6153,1.64829,2.21532,0.00177725,0.00177725,0.00177725
11,685.638,1.11258,0.92766,1.80411,0.66824,0.90323,0.84077,0.47675,1.64309,1.53219,2.66137,0.0017525,0.0017525,0.0017525
12,756.863,1.06143,0.82272,1.74817,0.90319,0.96774,0.9762,0.63889,1.15056,1.19392,1.79954,0.00172775,0.00172775,0.00172775
13,833.867,1.10244,0.87331,1.7604,0.91158,0.9978,0.98706,0.66983,1.20118,1.23519,1.82404,0.001703,0.001703,0.001703
14,904.717,1.07105,0.90314,1.76385,0.72386,0.83871,0.85528,0.55715,1.28174,1.13109,1.89339,0.00167825,0.00167825,0.00167825
15,977.986,1.09054,0.84017,1.72061,0.89901,0.86175,0.94961,0.69565,0.98844,0.99073,1.52908,0.0016535,0.0016535,0.0016535
16,1049.2,1.05077,0.84757,1.67103,0.80602,0.93548,0.94205,0.61169,1.294,0.86932,1.97481,0.00162875,0.00162875,0.00162875
17,1121.6,1.05146,0.85048,1.67057,0.95689,1,0.99125,0.5293,1.51825,0.94323,2.06268,0.001604,0.001604,0.001604
18,1191.24,1.04238,0.82792,1.6613,0.9616,0.96774,0.98899,0.6762,1.19044,0.85305,1.69353,0.00157925,0.00157925,0.00157925
19,1260.64,0.99817,0.79317,1.6632,0.81418,0.98959,0.92291,0.65932,1.10803,0.89953,1.64834,0.0015545,0.0015545,0.0015545
20,1334.03,1.02462,0.80165,1.67361,0.96207,1,0.985,0.68443,1.04378,0.72441,1.60553,0.00152975,0.00152975,0.00152975
21,1405.1,0.97873,0.74833,1.65814,0.96458,1,0.99125,0.69712,1.02247,0.77069,1.56442,0.001505,0.001505,0.001505
22,1477.24,0.93458,0.73426,1.61305,0.99725,0.96774,0.99406,0.68576,1.07492,0.76308,1.55282,0.00148025,0.00148025,0.00148025
23,1548.66,0.9159,0.75105,1.57907,0.99599,1,0.995,0.70682,1.06432,0.69092,1.57842,0.0014555,0.0014555,0.0014555
24,1618.05,0.9324,0.75963,1.61033,0.98949,1,0.995,0.67211,1.13771,0.75334,1.69114,0.00143075,0.00143075,0.00143075
25,1688.87,0.91184,0.71243,1.57762,0.8822,0.96637,0.95709,0.71794,0.93298,0.7669,1.44411,0.001406,0.001406,0.001406
26,1758.41,0.94542,0.71132,1.56606,0.8787,1,0.96154,0.7197,0.98814,0.77179,1.51191,0.00138125,0.00138125,0.00138125
27,1830.28,0.95797,0.73454,1.56176,0.91646,1,0.96558,0.71415,0.88968,0.9014,1.40555,0.0013565,0.0013565,0.0013565
28,1899.13,0.92251,0.70589,1.54441,0.96487,1,0.97688,0.70807,0.94291,0.83579,1.48383,0.00133175,0.00133175,0.00133175
29,1969.56,0.89512,0.69128,1.55834,0.96339,1,0.97906,0.75739,0.90704,0.63673,1.44056,0.001307,0.001307,0.001307
30,2040.22,0.85826,0.67413,1.49717,0.96553,1,0.99,0.7988,0.81547,0.6111,1.37605,0.00128225,0.00128225,0.00128225
31,2111.52,0.82978,0.62149,1.48812,0.96163,1,0.99,0.76257,0.9107,0.60837,1.42772,0.0012575,0.0012575,0.0012575
32,2180.97,0.91743,0.69455,1.57704,0.96206,1,0.98906,0.75383,0.85593,0.61081,1.41451,0.00123275,0.00123275,0.00123275
33,2252.45,0.82949,0.63867,1.49037,0.96236,0.96774,0.98304,0.68883,0.87072,0.74453,1.3925,0.001208,0.001208,0.001208
34,2323.26,0.87696,0.66635,1.52525,0.94975,0.96774,0.98899,0.67508,1.12364,0.69082,1.57955,0.00118325,0.00118325,0.00118325
35,2392.27,0.91635,0.68942,1.56197,0.9643,1,0.98219,0.71581,0.99276,0.61166,1.48426,0.0011585,0.0011585,0.0011585
36,2463.29,0.81475,0.62615,1.47026,0.96763,1,0.98719,0.79076,0.81522,0.60737,1.36166,0.00113375,0.00113375,0.00113375
37,2538.57,0.88124,0.69325,1.50945,0.96568,1,0.97406,0.69394,1.03347,0.72361,1.50311,0.001109,0.001109,0.001109
38,2612.44,0.8358,0.62983,1.45819,0.96557,1,0.98406,0.77662,0.86712,0.6219,1.37639,0.00108425,0.00108425,0.00108425
39,2682.89,0.86458,0.63975,1.46829,0.96641,1,0.99406,0.79986,0.80142,0.55603,1.34826,0.0010595,0.0010595,0.0010595
